"CommentBox_Content","CommentBox_Date","CommentBox_Rating"
"I was pretty excited to get the phone, but was also hesitant. I was going from a 6S to the X and was worried that it may be too much of a big change for me to get used to with it having no home button.
After having the phone now for over a week, I am happy to say that I have been having a great experience with it so far. I had very little issues with switching to it. No problem at all with Face ID.
The only thing I am not really a fan of is changing to app view and closing the apps out. I find it to be a bit of a time waster compared to how it was with a home button.
One of my favourite features is the camera. I am really liking the quality of the photos, especially those that are taken in Portrait mode.
I am very happy with this phone.","2017-11-15","5"
"I would love to receive an iPhone X. I have tried this product out at my closest Apple store and it is amazing.The screen feels absolutely smooth. Lack of a headphone jack sucks but if you buy it it comes with wireless EarPods and a dongle.This is my #GiftCrush.","2017-12-26","5"
"","2017-12-09",""
"BEST PHONE IVE EVER HAD!!!
Face ID is great!
Animoji now that's on a whole new level of cool!!
you'll have to find out the rest of the features yourself!!!
the $1000 price tag is worth it
if i could give it a grade id give it a A+++++++++++ (if possible)
get it !!!
Apple iPhone X","2018-01-08","5"
"This is the items that I would I love to have the phone I have right now is
An 5 s which as you can tell is pretty old and kind of outdated. I would really like the iPhone X because it take amazing pictures for Instagram and Snapchat ! The camera quality is much better and it comes in some nice colours.!!","2017-12-20","5"
"Love all things Apple. I love how they make it easy to connect all of your devices together to share documents, apps and photos. If I had one bad thing to say about the products is that they are a little expensive otherwise I would recommend anything Apple to anyone","2017-12-10","5"
"Iphone X from Apple is an amazing innovation to the smart phone world. With its performing camera and itâ€™s face recognition the sky is the limit to what this phone can do. A great gift for the holidays or a great gift to receive ğŸ˜","2017-12-13","5"
"Wow, this phone is amazing. It took me a day to get use to the phone. I had to watch the tutorial online and it helped a lot. This phone is expensive though but to me itâ€™s worth the money.","2017-12-04","5"
"I don't see the problem with the iPhone x. It has an amazing face ID sensor which saves time. It is almost the same as the iPhone 8:/ very pricey. Great camera quality","2017-12-05","4"
"Good lovely ğŸ˜ it is really so nice
It is really good
FabulousØŒ Unmatched productØŒ Thanks to the inventor.","2017-12-29","5"
"My name is Mahmoud Mostafa a channel review website that focuses on beauty and fashion and a blog website review website that focuses on tech gadgets . Our Youtube Channel can be viewed at the following link. We have been reviewing the latest and greatest technology since 2010. We have over 5,000 subscribers on our mailing list and I have reviewed products from companies such as. We just came across your product,iphone X and love the clean design and unique function. I feel it would be a great fit for our SUBSCRIBERS of tech savvy people who love these type of products. If you would be willing to send me a sample of iphone X I would be able to put together a honest blog post review of the product on ourCHANNEL . I will include the product URL and price at the end of the blog post so people know where to purchase it from. If you are interested in offering my viewers a discount or promotional code I would be happy to include that in the blog post . Once the review is complete I will run a competition for my subscribers to win the product, that is unless you would prefer I send it back to you which I am happy to do.If you require any additional information I would be happy to provide it.My mailing address and contact details are below.Thank you for your time","2017-12-17","5"
"My name is amine creator a channel review website that focuses on beauty and fashion and a blog website review website that focuses on tech gadgets . Our Youtube Channel can be viewed at the following link. We have been reviewing the latest and greatest technology since 2010. We have over 5,000 subscribers on our mailing list and I have reviewed products from companies such as. We just came across your product,iphone X and love the clean design and unique function. I feel it would be a great fit for our SUBSCRIBERS of tech savvy people who love these type of products. If you would be willing to send me a sample of iphone X I would be able to put together a honest blog post review of the product on ourCHANNEL . I will include the product URL and price at the end of the blog post so people know where to purchase it from. If you are interested in offering my viewers a discount or promotional code I would be happy to include that in the blog post . Once the review is complete I will run a competition for my subscribers to win the product, that is unless you would prefer I send it back to you which I am happy to do.If you require any additional information I would be happy to provide it.My mailing address and contact details are below.Thank you for your time","2017-12-12","5"
"I wanted to partner with you if possible. I can help you promote your products by reviewing them in my videos for feeMy goal is to encourage people to buy from the internet and at the same time help the company promote products .i just came across your products . I feel it would be a great fit for ouraudience of tech savvy people who love these type of products. If you wouldbe willing to send me a sample of products I would be able to put togethera honest blog post review of the product on our social media & blogger. Iwill include the product URL and price at the end of the blog post sopeople know where to purchase it from. If you are interested in offering myviewers a discount or promotional code I would be happy to include that inthe blog post .If you require any additional information I would be happy to provide it.Thank you for your time","2017-12-17","5"
"I wanted to take a second to formally thank you for the generous bonus you awarded to many persons along the worldwide .I feel very lucky to sign in this Company. The support and care you show for your employees is truly commendable, My name is KEBIR OUARDA creator of MAYTHA'S MARKETING a channel review website that focuses on beauty ,TECH ,and fashion ,I have reviewed products from companies such as SONNY , GEARBEST,FOCALPRICE..... ETCWe just came across your product ,and love the clean design and unique functionI feel it would be a great fit for our SUBSCRIBERS of tech savvy people who love these type of products and know more about them . If you would be willing to send me a PRODUCT'S SAMPEL of anyone of yours because i have not
enough money to buy them ,I would be able to put together a honest blog post review of the product on our CHANNEL ,I will include the product URL and price at the end of the blog post so people know where to purchase it from. If you are interested in offering my viewers a discount or promotional code I would be happy to include that in the blog post . Once the review is complete I will run a competition for my subscribers to win the product, that is unless you would prefer I send it back to you which I am happy to do.If you require any additional information I would be happy to provide it.My mailing address and contact details are below.Thank you for your timeI appreciate your thoughtfulness, encouragement and It is a nice gesture","2018-01-11","5"
"My name is ABDALLAH hassnOwner of the channel fire wolf on youtubeReview of technical equipmentAnd review applications and gamesFor smart phones and computersMy name is Mohamed MostafaI have a channel on Youtube with a good number of subscribers.I do a lot of reviews of electronic devicesMy videos are being harvested with a good number of viewsIt can help you promote your products by reviewing them in your videosMy goal is to encourage people to buy from the Internet,At the same time help the company to promote the products thank you for the compliments","2018-01-01","5"
"With iPhone X, the device is the screen. It is the all-new Super Retina size 5.8 inches that fills the hand and satietyWe used new technology and techniques to perfectly harmonize the screen with the streamlined design to the corners with its elegant curves.The first OLED display rises to the iPhone level, featuring stunning accurate colors and a more realistic display of black color scores, plus high brightness and a 1,000,000: 1 contrast ratio.A small space containing some of the most important technologyYour face is now your password. Face ID provides a new, secure and confidential way to unlock and verify your device.The rear cameras feature optical stabilization of images and quick lenses for superb photos and videos, even in low light.ØªØ­ØªÙˆÙŠ ÙˆØ­Ø¯Ø© Ø§Ù„Ù…Ø¹Ø§Ù„Ø¬Ø© Ø§Ù„Ù…Ø±ÙƒØ²ÙŠØ© Ø§Ù„Ø¬Ø¯ÙŠØ¯Ø© ÙƒÙ„ÙŠØ§ Ø¹Ù„Ù‰ Ø£Ø±Ø¨Ø¹Ø© Ù…Ø¹Ø§Ù„Ø¬Ø§Øª Ø£Ø³Ø§Ø³ÙŠØ© Ø¨Ø³Ø±Ø¹Ø© ØªØµÙ„ Ø¥Ù„Ù‰ 70 ÙÙŠ Ø§Ù„Ù…Ø¦Ø© Ø£Ø³Ø±Ø¹ Ù…Ù† A10 ÙÙˆØ³ÙŠÙˆÙ† ÙˆÙ„Ù‡Ø§ Ø£Ø¯Ø§Ø¡ Ø£Ø³Ø±Ø¹ ÙŠØµÙ„ Ø¥Ù„Ù‰ 25 ÙÙŠ Ø§Ù„Ù…Ø¦Ø©.Ø¹Ù…Ø± Ø§Ù„Ø¨Ø·Ø§Ø±ÙŠØ© Ù‡Ùˆ Ù…Ø§ ÙŠØµÙ„ Ø§Ù„Ù‰ 2 Ø³Ø§Ø¹Ø© Ù„ÙƒÙ„ ØªÙ‡Ù…Ø© Ø¨Ø§Ù„Ù…Ù‚Ø§Ø±Ù†Ø© Ù…Ø¹ Ø§ÙŠ ÙÙˆÙ† 7 Ù…Ø¹ Ø¬Ù‡Ø§Ø² ØªØ­ÙƒÙ… Ø§Ù„Ø£Ø¯Ø§Ø¡ Ù…Ù† Ø§Ù„Ø¬ÙŠÙ„ Ø§Ù„Ø«Ø§Ù†ÙŠ ÙˆØªØµÙ…ÙŠÙ… Ø¨Ø·Ø§Ø±ÙŠØ© Ù…Ø®ØµØµØ©Ø§ÙŠ ÙÙˆÙ† X Ù„Ø§ ØªØ­ØªØ§Ø¬ Ø¥Ù„Ù‰ ÙƒØ§Ø¨Ù„ Ø§Ù„Ø´Ø­Ù†ØŒ ÙˆÙ‡ÙŠ Ù…ØµÙ…Ù…Ø© Ø¨Ø§Ù„ÙØ¹Ù„ Ù„Ù…Ø³ØªÙ‚Ø¨Ù„ Ø¯ÙˆÙ† Ø£Ø³Ù„Ø§ÙƒÙŠÙˆØ³ 11Ø¯Ø§Ø¦Ø±Ø© Ø§Ù„Ø±Ù‚Ø§Ø¨Ø© Ø§Ù„Ø¯Ø§Ø®Ù„ÙŠØ© Ù…Ø¨ØªÙƒØ±Ø©ØŒ Ù„ÙÙˆÙ† Ù„Ù… ÙŠØ³Ø¨Ù‚ Ù„Ù‡ Ù…Ø«ÙŠÙ„.Ø¥Ø±Ø³Ø§Ù„ Ø£Ù†ÙŠÙ…ÙˆØ¬ÙŠ ÙÙŠ ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù…Ø±Ø§Ø³Ù„Ø©. Ø§Ø³ØªØ®Ø¯Ø§Ù… Ø³ÙŠØ±ÙŠØŒ Ø¯Ø¬ Ø§Ù„Ø°ÙŠ ÙŠØ¹Ø±Ù Ø°ÙˆÙ‚Ùƒ. Ø§ÙƒØªØ´Ø§Ù Ø§Ù„Ù…ÙˆØ³ÙŠÙ‚Ù‰ Ø§Ù„Ø¬Ø¯ÙŠØ¯Ø© Ù…Ø¹ Ø§Ù„Ø£ØµØ¯Ù‚Ø§Ø¡ ÙÙŠ Ø£Ø¨Ù„ Ø§Ù„Ù…ÙˆØ³ÙŠÙ‚Ù‰
Ø¥Ø±Ø³Ø§Ù„ Ø£Ù†ÙŠÙ…ÙˆØ¬ÙŠ ÙÙŠ ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù…Ø±Ø§Ø³Ù„Ø©. Ø§Ø³ØªØ®Ø¯Ø§Ù… Ø³ÙŠØ±ÙŠØŒ Ø¯Ø¬ Ø§Ù„Ø°ÙŠ ÙŠØ¹Ø±Ù Ø°ÙˆÙ‚Ùƒ. Ø§ÙƒØªØ´Ø§Ù Ø§Ù„Ù…ÙˆØ³ÙŠÙ‚Ù‰ Ø§Ù„Ø¬Ø¯ÙŠØ¯Ø© Ù…Ø¹ Ø§Ù„Ø£ØµØ¯Ù‚Ø§Ø¡ ÙÙŠ Ø£Ø¨Ù„ Ø§Ù„Ù…ÙˆØ³ÙŠÙ‚Ù‰","2017-12-24","5"
"","2017-12-24",""
"Iâ€™m seriously crushing on the new Apple iPhone X.
I would LOVE to get one of these from Santa this year but I think I might be on his naughty list ğŸ˜
With its Face ID and voice recognition, itâ€™s faster and smarter than itâ€™s predecessors. You can also send an Animoji of yourself in messages, canâ€™t wait to play with that function.....
Edge to edge, corner to corner screen makes it so very appealing to the eye........
Wireless charging would make life so much simpler, no more being tied to the wall........
And with all that screen, youâ€™d expect nothing less than it being dust and water resistant. Which means good things for those miserable English days and nights and when it simply wonâ€™t stop raining!!
My crush on the iPhone X is because of all the above reasons, who wouldnâ€™t want a phone that can pretty much do everything?!
Having one of these would make writing reviews and taking pictures and shooting videos so much more of an enjoyable experience.
I enjoy what I do now but feel like Iâ€™m only in little league on my current phone.","2017-12-19","5"
"","2017-12-05",""
"","2017-12-22",""
"Hello, I love all the products of this company if you allow me to review this prodect I would be grateful to you , I can help you promote your products by reviewing them in my videos for the purpose of encouraging people to buy from the internet and on the same time help the company promote good news . best Regards","2017-11-27","5"
"Received this item on launch day and I havenâ€™t had any issues with this phone. My favorite part about the phone is the facial recognition. I was tired of using my fingerprint for everything. I would totally recommend this phone.","2018-01-15","5"
"Just got mine in the mail and so far itâ€™s great. I had the 7plus before this one so in getting use to the smaller size, however the screen is much longer so it doesnâ€™t feel like such a big difference to me. Facial recognition works! It works with my glasses and without. I even used it with a sheet mask on and it worked also.","2017-11-05","5"
"#giftcrush I would love to have an iPhone. I need a new phone and have only ever had Androids with the exception of my iPods in the past. I would love to get an iPhone this Christmas (doesn't have to be a x, just picked one for the picture).","2017-12-09","5"
"""For my iPhone users - I am hearing mixed reviews - so which one should I upgrade to the Apple iPhone X or Apple iPhone 8 Plus or just get the regul...""- 1 Answer","2017-12-05","5"
"I want this new iPhone so badly! Not only is the facial recognition top of the line, I love the fact that it comes with a charging pad instead of a physical charger! And who isnâ€™t excited about the talking emoji ability?!","2017-12-15","5"
"","2017-12-20",""
"This is such a great new device for anybody who is willing to learn new features and gestures to get the most out of technology. The design is so sleek and gorgeous too! It's similar to the 8, but with a better camera","2017-12-28","5"
"I love my IPhone X!! The speed is amazing and I have plenty of storage on my on phone. The camera is way better then any previous models. I do believe the price tag is to heavy though. Apple iPhone X","2017-12-21","5"
"I would love to be gifted an Apple iPhone X. You can buy them at any phone retailer or even Walmart. They are very expensive but they are super easy to use and super light. They could be improved with better glass.","2017-12-08","5"
"El precio es muy alto en comparaciÃ³n a su rival quien logrÃ³ destronarlo en menos de un mes con la posiciÃ³n de mejor camara. Con un costo casi al doble del Google Pixel el nuevo modelo XL 2 es quien llegÃ³ para derribar a este gigante de la comunicaciÃ³n celular. Inclusive la portabilidad del pixel es mejor","2017-12-01","3"
"","2017-11-24",""
"oh my god what should I say the iPhone x is the best I want one yes it is best feature I love it so much I want one please influenster give me one pease please please please","2017-12-19","5"
"The iPhone X has been a great upgrade for me. The Face ID is quickly, response, and offers a great level of security for the phone and secure apps. There is a slight learning curve to the new gestures on the phone, but they end up becoming very natural. Youâ€™ll forget about the home button very quickly.","2018-01-03","5"
"I was not a fan of iphones but after seeing the iphone x that really changed my mind it is a really cool phone i hope i could get one
Cant give 5 stars because i dident try it i just saw some reviews on youtube","2017-11-26","4"
"Hi there
My name is youssef berramdane Creator of Ø¹Ø°Ø±Ø§ Ù†ÙŠÙˆØªÙ† Ø¨Ø±Ø´Ù„ÙˆÙ†Ø© Ù‡Ùˆ Ø³Ø± Ø§Ù„Ø¬Ø§Ø°Ø¨ÙŠØ© , a blog review website that focuses on barcelona's news
I would like to inform you that i have met the requirements of your options . I will promote your Website and review your product to 9800 followers on my page facebook
Good News !!!!
I will post your website and product review on my Facebook page for FREE !!!! YES for Free
What are you still waiting for !!! Hit me up now and enjoy the promotion with me .
Best wiches.
youssef
hey ourtane
kser zenaga
figuig
morocco","2017-12-16","5"
"Okay so I was really hoping to get this iPhone X! Why I was hoping to get it is because, it's the newest trend!!! and I have been using an ipod touch for awhile now. So and upgrade would be neat!!! â™¡ Apple iPhone X","2017-12-10","4"
"I'm too excited to get my hands on the news iphone X. Getting it for free that comes with my telecom plan. The 256gb is currently out of stock and I am on waiting list. Hope to get it very soon. I just can't wait! Apple iPhone X I'll will be reviewing the iphone x as soon as I get it.","2017-11-27","5"
"Iâ€™ve had my iPhone X for a few weeks now and I have to say I love the upgrades, but miss my Apple iPhone 7 Plus . I think the best feature of the phone is the camera! Itâ€™s amazing and the parts I â€˜m still getting used to would be the loss of the home button and the size.","2017-11-27","4"
"Iâ€™ve had this phone for a week now and I love it. I was die hard Android couldnâ€™t stand apple products and serious about it. My phone broke last week and the only thing on stock was apple. I figured if I was going apple I was going all the way. I love the screen, colors, and the camera.","2017-12-22","5"
"Been two months of using it love the new features added the camera clarity is perfect doesn't hang up update are good and amazing battery life","2017-12-13","5"
"It is a bit pricey but it is worth it the camera quality is the best if you like to take pictures this is the phone for you it has spft focus","2018-01-01","5"
"I love this iPhone and I would love to do a review on it.This iPhone has met my expectations because it is entirely brand new and the looks.","2017-11-24","5"
"The picture quality in this iPhone is the bomb. I love the way that it takes pictures. The added features also give it an extra hype.","2017-12-30","5"
"This phone is a great improvement. They have such great quality and most definitely hold their value. I love these phones so much.","2017-12-26","5"
"It's an excellent cell phone, once I had a 4s and I fell in love. I want this cell phone as it is, very, very beautiful ds !!! ğŸ˜ğŸ˜ğŸ˜ğŸ˜","2017-12-06","5"
"I would really love if I got it can someone tell me how to order it for free I really want to know how I can get this item for free","2017-11-18","5"
"Love the new iPhone X. The facial recognition makes for easy use. Takes amazing pictures! Can be a little pricey but worth it.","2017-12-25","5"
"That is fantastic, It has everything I need, even if the cost is a bit high ğŸ–¥ğŸ–¥ Apple iPhone XApple Store","2018-01-07","5"
"I love the iPhone x it is the best good photos good quality to take the photos and how good they are I love the iPhone x","2017-12-12","5"
"My giftcrush 4 ever, i love iPhone and i want one from this christmas, Happy holy days everybody !!!","2017-12-18","5"
"Hi I am ahlam and iam a big fan of iPhone and I wish I could get iPhone x 128gp for free to try it","2017-12-15","5"
"#GiftCrush #contest @Influenster I would love this for x mas ğŸ˜ it looks nice pretty pricey tho","2017-12-06","5"
"I inlove with this phone , i love taking picture i find this phone so beautiful i just love it","2017-12-14","5"
"Love my iPhone X, so glad I got it!
Easy to use, love the bigger screen. No negatives at all","2018-01-12","5"
"Got a beta test and this thing is pretty cool. Canâ€™t share too much! Get for your self now!","2017-10-30","5"
"Meu sonho um iPhone X jÃ¡ amo o meu 5s e sou apaixonada pela Apple
Celular lindo e inovador","2018-01-06","5"
"So far best iPhone ever!!! I love Apple products so much. Great update from my iPhone 7.","2017-11-17","5"
"I would like to review this product on my social media so I can inspire people to buy it and give very good quietly tips","2017-11-10","5"
"how can i winn it but also i think it is just a copy by the galaxy s8 from Samsung but there we miss the fingerprint","2017-11-10","5"
"My bunny is an iPhone lover so i know he will love this new phone with lots of new apps and most of all the camera","2017-12-07","5"
"I would love receive this phone as s gift because itâ€™s sexy and brilliant and that my friends says everything...","2017-12-08","5"
"I'm loving with this phone beautiful, fast, nice and smart too much expensive for me I would like to receive itğŸ˜","2018-01-03","5"
"I look forward to seeing this on Christmas I really donâ€™t want for anything but this would be the best gift ever!","2017-12-13","5"
"it is an alright phone but ive seen other reviews and this phone could have been made much better in my opioin","2018-01-12","5"
"Vale la pena gastar todos los dolares de la vida por que este celular es hermoso super bueno bonito esta super","2017-12-07","5"
"Iâ€™m obsessed with iPhones and apple. I really want the iPhone X for Christmas. Hopefully I end up getting it!!","2017-12-16","5"
"Masterpiece from Apple.
Best camera made ever in a smartphone.
Face ID works even in dark.
Cons:
Expensive","2017-12-23","5"